Web of Science Categories to Exclude,Scopus Categories to Exclude
Acoustics ,Arts and Humanities 
Agricultural Economics Policy ,"Business, Management and Accounting "
Agricultural Engineering ,Chemical Engineering 
Agriculture Dairy Animal Science ,Chemistry 
Agriculture Engineering ,Computer Science 
Agriculture Multidisciplinary ,Decision Sciences 
Agronomy ,Dentistry 
Anatomy Morphology ,Earth and Planetary Sciences 
Anesthesiology ,"Economics, Econometrics and Finance "
Anthropology ,Energy 
Archaeology ,Engineering 
Architecture ,Health Professions 
Art ,Immunology and Microbiology 
Asian Studies ,Materials Science 
Astronomy Astrophysics ,Mathematics 
Audiology Speech Language Pathology ,Medicine 
Automation Control Systems ,Neuroscience 
Behavioural Sciences ,Nursing 
Biochemical Research Methods ,"Pharmacology, Toxicology and Pharmaceutics "
Biochemistry Molecular Biology ,Physics and Astronomy 
Biodiversity Conservation ,Psychology 
Biophysics ,Social Sciences 
Biotechnology Applied Microbiology ,
Business ,
Business Finance ,
Cardiac Cardiovascular Systems ,
Cell Biology ,
Cell Tissue Engineering ,
Chemistry Analytical ,
Chemistry Applied ,
Chemistry Inorganic ,
Chemistry Inorganic Nuclear ,
Chemistry Medicinal ,
Chemistry Multidisciplinary ,
Chemistry Organic ,
Chemistry Physical ,
Clinical Neurology ,
Communication ,
Computer Science Artificial Intelligence ,
Computer Science Cybernetics ,
Computer Science Hardware Architecture ,
Computer Science Information Systems ,
Computer Science Interdisciplinary Applications ,
Computer Science Software Engineering ,
Computer Science Theory Methods ,
Construction Building Technology ,
Criminology Penology ,
Critical Care Media ,
Critical Care Medicine ,
Crystallography ,
Cultural Studies ,
Dentistry Oral Surgery Medicine ,
Dermatology ,
Development Studies ,
Developmental Biology ,
Economics ,
Education Educational Research ,
Education Scientific Disciplines ,
Education Special ,
Electrochemistry ,
Emergency Medicine ,
Endocrinology Metabolism ,
Energy Fuels ,
Engineering Aerospace ,
Engineering Biomedical ,
Engineering chemical ,
Engineering Civil ,
Engineering Electrical Electronic ,
Engineering Environmental ,
Engineering Geological ,
Engineering Industrial ,
Engineering Manufacturing ,
Engineering Marine ,
Engineering Mechanical ,
Engineering Multidisciplinary ,
Engineering Ocean ,
Engineering Petroleum ,
Ergonomics ,
Family Studies ,
Fisheries ,
Food Science Technology ,
Forestry ,
Gastoenterology Hepatology ,
Gastroenterology Hepatology ,
Genetics Hereditary ,
Geochemistry Geophysics ,
Geography ,
Geography Physical ,
Geology ,
Geosciences Multidisciplinary ,
Geriatrics Gerontology ,
Gerontology ,
Green Sustainable Science Technology ,
Health Care Sciences Services ,
Health Policy Services ,
Hematology ,
History ,
Horticulture ,
Hospitality Leisure Sport Tourism ,
Humanities Multidisciplinary ,
Imaging Science Photographic Technology ,
Immunology ,
Infectious Diseases ,
Information Science Library Science ,
Instruments Instrumentation ,
Integrative Complementary Medicine ,
Language Linguistics ,
Law ,
Limnology ,
Linguistics ,
Literary Theory Criticism ,
Literature ,
Management ,
Materials Science Biomaterials ,
Materials Science Ceramics ,
Materials Science Characterization Testing ,
Materials Science Coating Films ,
Materials Science Composites ,
Materials Science Multidisciplinary ,
Materials Science Paper Wood ,
Materials Science Textiles ,
Mathematical Computational Biology ,
Mathematics ,
Mathematics Applied ,
Mathematics Interdisciplinary Applications ,
Mechanics ,
Medical Informatics ,
Medicine General Internal ,
Medicine Legal ,
Medicine Research Experimental ,
Metallurgy Metallurgic Engineering ,
Meteorology Atmospheric Sciences ,
Microbiology ,
Microscopy ,
Mineralogy ,
Mining Mineral Processing ,
Nanoscience Nanotechnology ,
Neuroimaging ,
Neurosciences ,
Nuclear Science Technology ,
Nursing ,
Nutrition Dietetics ,
Obstetrics Gynaecology ,
Obstetrics Gynecology ,
Oceanography ,
Oncology ,
Operations Research Management Science ,
Ophthalmology ,
Optics ,
Orthopedics ,
Paleontology ,
Pathology ,
Pediatrics ,
Peripheral Vascular Disease ,
Pharmacology Pharmacy ,
Physics Applied ,
Physics Atomic Molecular Chemical ,
Physics Condensed Matter ,
Physics Fluids Plasmas ,
Physics Mathematical ,
Physics Multidisciplinary ,
Physics Nuclear ,
Physics Particles Fields ,
Physiology ,
Plant Sciences ,
Political Science ,
Polymer Science ,
Primary Health Care ,
Psychiatry ,
Psychology ,
Psychology Applied ,
Psychology Biological ,
Psychology Clinical ,
Psychology Developmental ,
Psychology Experimental ,
Psychology Mathematical ,
Psychology Multidisciplinary ,
Psychology Social ,
Public Administration ,
Public Environmental Occupational Health ,
Quantum Science Technology ,
Radiology Nuclear Medicine Medical Imaging ,
Regional Urban Planning ,
Rehabilitation ,
Remote Sensing ,
Reproductive Biology ,
Robotics ,
Social Sciences Biomedical ,
Social Sciences Interdisciplinary ,
Social Sciences Mathematical Methods ,
Sociology ,
Soil Science ,
Spectroscopy ,
Sport Sciences ,
Statistics Probability ,
Substance Abuse ,
Surgery ,
Telecommunications ,
Thermodynamics ,
Toxicology ,
Transplantation ,
Transportation ,
Transportation Science Technology ,
Tropical Medicine ,
Urban Studies ,
Urology Nephrology ,
Water Resources ,
Women S Studies ,
