country,Flash_Behaviour,Flash_Display,Flash_colour,Flash_mark,Flashing,Other,Flash_colouration,Total
Argentina,0,0,1,0,0,0,3,4
Australia,0,0,0,0,0,0,8,8
Brazil,1,2,16,8,1,0,10,38
Bulgaria,0,1,0,0,0,0,0,1
Canada,5,6,3,2,3,1,10,30
China,1,0,0,1,2,0,1,5
Colombia,0,0,0,1,0,0,0,1
Czech Republic,0,0,0,0,0,2,0,2
Denmark,0,0,1,0,0,0,1,2
Ecuador,0,0,0,1,0,0,1,2
Finland,0,0,1,0,0,0,1,2
France,0,0,0,1,1,0,0,2
French Guiana,0,0,0,1,0,0,0,1
Germany,1,2,2,5,1,0,2,13
Ghana,0,0,2,0,1,0,1,4
India,0,0,0,2,0,0,3,5
Italy,0,1,0,0,0,0,2,3
Japan,1,0,0,0,0,0,0,1
KeyA,0,0,0,1,0,0,0,1
KeyB,0,0,0,3,0,0,0,3
KeyC,0,0,0,10,0,0,0,10
KeyD,0,0,0,30,0,0,0,30
KeyE,0,0,0,100,0,0,0,100
Kyrgyzstan,1,0,0,0,0,0,0,1
Mexico,0,0,2,0,0,0,3,5
Mongolia,0,0,1,0,0,0,0,1
New Zealand,0,3,0,0,0,0,0,3
Norway,0,0,1,0,0,0,0,1
np,0,1,0,0,1,0,0,2
Pakistan,0,0,0,0,0,0,1,1
Panama,0,0,0,0,0,0,1,1
Peru,0,0,1,2,0,0,0,3
Seychelles,0,0,0,0,0,0,1,1
United Kingdom,0,0,0,0,0,0,1,1
Singapore,0,1,0,0,0,0,1,2
Slovakia,0,0,0,0,0,0,1,1
South Africa,0,0,0,0,2,0,3,5
South Korea,0,2,1,0,2,0,1,6
Spain,0,0,0,0,0,0,1,1
Sweden,0,1,0,0,0,0,2,3
Trinidad and Tobago,0,0,0,0,0,0,1,1
United Kingdom,6,3,10,5,6,1,39,70
Uruguay,0,0,0,0,0,0,2,2
United States,6,12,15,28,13,1,51,126
Zimbabwe,0,0,1,0,0,0,0,1
